---------------------------------------


Marginal Probabilities
---------------------------------------
_ : 0.16886
a : 0.06137
c : 0.02802
b : 0.01209
e : 0.10498
d : 0.02649
g : 0.01583
f : 0.01928
i : 0.06334
h : 0.03892
k : 0.00347
j : 0.00061
m : 0.02201
l : 0.03705
o : 0.0696
n : 0.05686
q : 0.00089
p : 0.0189
s : 0.05635
r : 0.04802
u : 0.02306
t : 0.08034
w : 0.01292
v : 0.01113
y : 0.01721
x : 0.00162
z : 0.00073


Emission Probabilities
---------------------------------------
P( _ | _ ) = 0.99904
P( _ | a ) = 0.0001
P( _ | b ) = 0.00051
P( _ | c ) = 0.00022
P( _ | d ) = 0.00023
P( _ | e ) = 6e-05
P( _ | f ) = 0.00032
P( _ | g ) = 0.00039
P( _ | h ) = 0.00016
P( _ | i ) = 0.0001
P( _ | j ) = 0.00794
P( _ | k ) = 0.00171
P( _ | l ) = 0.00017
P( _ | m ) = 0.00028
P( _ | n ) = 0.00011
P( _ | o ) = 9e-05
P( _ | p ) = 0.00033
P( _ | q ) = 0.00588
P( _ | r ) = 0.00013
P( _ | s ) = 0.00011
P( _ | t ) = 8e-05
P( _ | u ) = 0.00027
P( _ | v ) = 0.00055
P( _ | w ) = 0.00047
P( _ | x ) = 0.00348
P( _ | y ) = 0.00036
P( _ | z ) = 0.00694
P( a | _ ) = 4e-05
P( a | a ) = 0.79479
P( a | b ) = 0.00051
P( a | c ) = 0.00022
P( a | d ) = 0.00023
P( a | e ) = 6e-05
P( a | f ) = 0.00032
P( a | g ) = 0.00039
P( a | h ) = 0.00016
P( a | i ) = 0.0001
P( a | j ) = 0.00794
P( a | k ) = 0.00171
P( a | l ) = 0.00017
P( a | m ) = 0.00028
P( a | n ) = 0.00011
P( a | o ) = 9e-05
P( a | p ) = 0.00033
P( a | q ) = 0.08235
P( a | r ) = 0.00013
P( a | s ) = 0.04264
P( a | t ) = 8e-05
P( a | u ) = 0.00027
P( a | v ) = 0.00055
P( a | w ) = 0.04604
P( a | x ) = 0.00348
P( a | y ) = 0.00036
P( a | z ) = 0.04167
P( b | _ ) = 4e-05
P( b | a ) = 0.0001
P( b | b ) = 0.79889
P( b | c ) = 0.00022
P( b | d ) = 0.00023
P( b | e ) = 6e-05
P( b | f ) = 0.00032
P( b | g ) = 0.04193
P( b | h ) = 0.0437
P( b | i ) = 0.0001
P( b | j ) = 0.00794
P( b | k ) = 0.00171
P( b | l ) = 0.00017
